name,age,gender,residence,income,education_level,yearly_energy_consumption_kWh,political_preferences
Eva Křížová,28,žena,Plzeň,27000,vysokoškolské,2400,ANO
Jiří Horák,36,muž,Brno,32000,vysokoškolské,4500,ODS
Lucie Dvořáková,45,žena,České Budějovice,28000,středoškolské bez maturity,4000,SPD
Petr Novotný,34,muž,Liberec,30000,vysokoškolské,3300,Piráti
Martina Václavíková,52,žena,Ostrava,25000,středoškolské s maturitou,3700,ČSSD
Tomáš Svoboda,29,muž,Pardubice,35000,vysokoškolské,3200,ANO
Eva Kopecká,38,žena,Brno,32000,středoškolské s maturitou,2800,ODS
Jiří Dvořák,45,muž,Ústí nad Labem,28000,vysokoškolské,4000,SPD
Lenka Horáková,34,žena,Plzeň,29000,vyšší odborné,2500,Piráti
Martin Novák,52,muž,Ostrava,77000,středoškolské bez maturity,3600,ČSSD
Tereza Svobodová,29,žena,Hradec Králové,33000,vysokoškolské,2200,ANO
Eva Konečná,38,žena,Brno,31000,vyšší odborné,2700,ODS
Jakub Dvořák,47,muž,Liberec,42000,středoškolské s maturitou,3400,TOP 09
Petr Hrubý,34,muž,Plzeň,28000,středoškolské s maturitou,2400,Piráti
Lucie Nováková,26,žena,Ostrava,29000,středoškolské bez maturity,1900,ČSSD
Markéta Veselá,52,žena,Pardubice,33000,středoškolské bez maturity,3200,ANO
Tomáš Svoboda,38,muž,Brno,35000,středoškolské bez maturity,2500,ODS
David Kučera,54,muž,Plzeň,29000,středoškolské bez maturity,3400,ODS
Petr Konečný,34,muž,Plzeň,37000,vysokoškolské,2200,Piráti
Eva Nováková,30,žena,Ostrava,28000,středoškolské s maturitou,2400,SPD
Lukáš Horák,52,muž,Pardubice,45000,vysokoškolské,3200,ANO
Marie Svobodová,67,žena,Brno,33000,vysokoškolské,3100,ČSSD
Jiří Dvořák,45,muž,Liberec,38000,středoškolské bez maturity,2800,ODS
Petra Křížová,34,žena,Praha,32000,vyšší odborné,2200,Piráti
Tomáš Novotný,29,muž,Ostrava,29000,středoškolské s maturitou,2400,SPD
Eva Hrubá,52,žena,Plzeň,76000,vysokoškolské,3500,ANO
Martin Svoboda,38,muž,Brno,70000,vysokoškolské,3300,ČSSD
Jiří Dvořák,45,muž,Liberec,31000,středoškolské bez maturity,2800,ODS
Petra Konečná,34,žena,Praha,45000,vysokoškolské,2200,Piráti
Tomáš Novotný,29,muž,Ostrava,28000,středoškolské s maturitou,2400,SPD
Lenka Horáková,52,žena,Plzeň,32000,středoškolské bez maturity,3500,ANO
David Kučera,54,muž,Plzeň,29000,středoškolské bez maturity,3400,ODS
Lukáš Svoboda,45,muž,Ostrava,28000,vyšší odborné,4200,SPD
Petra Dvořáková,34,žena,Plzeň,31000,středoškolské s maturitou,3500,Piráti
David Horák,29,muž,Liberec,27000,středoškolské bez maturity,3000,ODS
Eva Křížová,52,žena,Hradec Králové,36000,vysokoškolské,4000,ČSSD
Martin Novotný,38,muž,Brno,33000,vysokoškolské,3800,ANO
Lukáš Jelínek,45,muž,Ostrava,29000,vyšší odborné,4200,SPD
Alis Petr,34,muž,Plzeň,31000,středoškolské s maturitou,3500,Piráti
Petra Vávrová,28,žena,České Budějovice,28000,vysokoškolské,3300,ODS
Tomáš Svoboda,52,muž,Liberec,36000,středoškolské s maturitou,4600,ČSSD
Michaela Novotná,39,žena,Brno,34000,vyšší odborné,3900,ANO
Lukáš Horák,18,muž,Ostrava,32000,středoškolské bez maturity,4200,SPD
Jana Dvořáková,33,žena,Plzeň,30000,vysokoškolské,3500,Piráti
Petr Válek,28,muž,Hradec Králové,28000,středoškolské s maturitou,3300,ODS
Veronika Šimková,52,žena,Liberec,36000,vysokoškolské,4500,ČSSD
Martina Nováková,39,žena,Brno,34000,vyšší odborné,3800,ANO
Lukáš Janda,45,muž,Ostrava,72000,středoškolské bez maturity,4200,SPD
Eva Hrušková,31,žena,Plzeň,31000,základní,3600,Piráti
Petr Svoboda,28,muž,Praha,39000,vysokoškolské,3400,TOP 09
David Kučera,54,muž,Plzeň,29000,středoškolské bez maturity,3400,ODS
Martin Novák,37,muž,Brno,35000,vyšší odborné,3800,ANO
Lucie Křížová,45,žena,Ostrava,32000,středoškolské bez maturity,4200,ODS
Eva Horáková,32,žena,Plzeň,31000,vysokoškolské,3700,Piráti
Petr Válek,29,muž,Hradec Králové,33000,vysokoškolské,3600,SPD
David Kučera,54,muž,Plzeň,29000,středoškolské bez maturity,3400,ODS
Martin Novák,38,muž,Brno,35000,vysokoškolské,4000,ANO
Lucie Svobodová,45,žena,Ostrava,29000,středoškolské s maturitou,4800,ODS
Eva Horáková,32,žena,Plzeň,31000,vysokoškolské,3700,Piráti
Petr Kříž,29,muž,Hradec Králové,33000,základní,3600,TOP 09
Jana Dvořáková,54,žena,Liberec,28000,středoškolské bez maturity,4600,ČSSD
Martin Novák,37,muž,Brno,35000,vysokoškolské,4200,ANO
Lenka Vítková,45,žena,Ostrava,29000,středoškolské s maturitou,3300,SPD
Eva Horáková,32,žena,Plzeň,41000,vysokoškolské,4000,Piráti
Tomáš Svoboda,79,muž,Pardubice,27000,vyšší odborné,3600,ODS
David Kučera,54,muž,Plzeň,29000,středoškolské bez maturity,3400,ODS
Martin Novák,37,muž,Brno,45000,vysokoškolské,4100,ANO
Lucie Křížová,46,žena,Ostrava,28000,středoškolské s maturitou,3500,SPD
Eva Horáková,32,žena,Plzeň,70000,vysokoškolské,3800,Piráti
Petr Vlček,29,muž,Pardubice,25000,středoškolské s maturitou,3200,ODS
Jana Dvořáková,54,žena,Liberec,33000,vyšší odborné,4600,ČSSD
Martin Novák,37,muž,Brno,35000,vysokoškolské,4200,ANO
Lucie Svobodová,45,žena,Ostrava,28000,středoškolské bez maturity,3500,SPD
Eva Horáková,32,žena,Plzeň,30000,vysokoškolské,3900,Piráti
Petr Kříž,29,muž,Hradec Králové,27000,středoškolské s maturitou,3300,ODS
David Kučera,54,muž,Plzeň,29000,středoškolské bez maturity,3400,ODS
Martin Novák,37,muž,Brno,85000,vysokoškolské,4500,ANO
Lucie Výborná,46,žena,Ostrava,32000,středoškolské s maturitou,3600,SPD
Eva Šimková,32,žena,Plzeň,28000,vyšší odborné,3800,Piráti
Petr Hrubý,29,muž,Pardubice,31000,vysokoškolské,4000,ODS
Jana Dvořáková,54,žena,Liberec,29000,středoškolské bez maturity,3300,ČSSD
Martin Novák,18,muž,Brno,75000,vysokoškolské,4500,ANO
Lucie Svobodová,45,žena,Ostrava,32000,vysokoškolské,3650,SPD
Eva Křížová,72,žena,Plzeň,48000,středoškolské s maturitou,3400,Piráti
Petr Horák,79,muž,Pardubice,47000,vyšší odborné,4000,TOP 09
David Kučera,54,muž,Plzeň,29000,středoškolské bez maturity,3400,ODS
Milan Novák,77,muž,Brno,45000,vysokoškolské,4200,ANO
Lucie Svobodová,42,žena,Ostrava,31000,vysokoškolské,3600,ODS
Eva Křížová,31,žena,Plzeň,48000,středoškolské s maturitou,3400,Piráti
Petr Horák,29,muž,Pardubice,52000,vysokoškolské,3900,SPD
Jana Dvořáková,54,žena,Liberec,29000,vyšší odborné,3300,ČSSD
Martin Novotný,37,muž,Brno,75000,středoškolské s maturitou,4200,ANO
Lucie Svobodová,46,žena,Ostrava,31000,středoškolské bez maturity,3600,ODS
Eva Křížová,32,žena,Plzeň,58000,základní,2500,Piráti
Petr Horák,89,muž,Hradec Králové,33000,vysokoškolské,3100,SPD
Jana Dvořáková,54,žena,Liberec,29000,vyšší odborné,3700,ČSSD
Martin Novák,38,muž,Brno,55000,středoškolské s maturitou,4200,ANO
Lucie Svobodová,46,žena,Ostrava,31000,středoškolské bez maturity,3400,ODS
Eva Křížová,32,žena,Plzeň,28000,základní,2900,Piráti
Petr Horák,29,muž,Hradec Králové,26000,středoškolské s maturitou,2500,SPD
Jana Dvořáková,54,žena,Liberec,33000,vyšší odborné,3600,ČSSD
Martin Novák,37,muž,Brno,34000,vysokoškolské,4200,ANO
Lucie Svobodová,46,žena,Ostrava,31000,středoškolské s maturitou,3800,ODS
Eva Křivánková,32,žena,Plzeň,28000,vysokoškolské,3000,Piráti
Petr Horák,29,muž,Pardubice,27000,středoškolské bez maturity,3400,SPD
Jana Dvořáková,54,žena,Liberec,53000,vysokoškolské,4600,ČSSD
Martin Novák,18,muž,Brno,29000,vysokoškolské,4200,ANO
Kateřina Svobodová,46,žena,Ostrava,25000,středoškolské s maturitou,3800,ODS
Eva Křížová,72,žena,Plzeň,28000,vyšší odborné,3650,Piráti
Petr Horák,79,muž,Pardubice,27000,středoškolské bez maturity,3400,SPD
Jana Dvořáková,74,žena,Liberec,31000,vysokoškolské,4600,ČSSD
Martin Novotný,77,muž,Brno,33000,základní,4200,ANO
Lucie Svobodová,46,žena,Ostrava,29500,středoškolské s maturitou,3800,ODS
Eva Křížová,32,žena,Plzeň,78000,vyšší odborné,3500,Piráti
Tomáš Horák,29,muž,Hradec Králové,27000,vysokoškolské,3400,TOP 09
Jana Dvořáková,54,žena,Liberec,31000,středoškolské bez maturity,4600,ČSSD
Petr Novák,87,muž,Brno,35000,vysokoškolské,4000,ANO
Martina Svobodová,46,žena,Ostrava,33000,středoškolské s maturitou,4200,SPD
Lukáš Válek,32,muž,Plzeň,28000,vyšší odborné,3700,Piráti
Eva Horáková,99,žena,Pardubice,27000,vysokoškolské,3500,TOP 09
Jiří Dvořák,54,muž,Liberec,42000,vysokoškolské,4600,ČSSD
Tereza Nováková,37,žena,Brno,31000,středoškolské s maturitou,4000,ANO
Martin Kopecký,46,muž,Ostrava,38000,vysokoškolské,4500,ODS
Petr Svoboda,32,muž,Plzeň,59000,vyšší odborné,3900,Piráti
Lucie Horáková,29,žena,Hradec Králové,33000,vysokoškolské,3500,TOP 09
Anna Dvořáková,54,žena,Liberec,28000,středoškolské bez maturity,3700,SPD
Jiří Novák,37,muž,Brno,52000,vysokoškolské,4100,ANO
Martina Kopecká,46,žena,Ostrava,31000,vyšší odborné,4300,ČSSD
Petr Válek,32,muž,Praha,45000,vysokoškolské,3800,Piráti
Lucie Horáková,29,žena,Plzeň,35000,středoškolské s maturitou,3400,ODS
Eva Dvořáková,54,žena,Liberec,29000,středoškolské bez maturity,4500,SPD
Tomáš Novák,37,muž,Brno,58000,vysokoškolské,3600,ANO
Martina Svobodová,46,žena,Ostrava,32000,vyšší odborné,4200,ČSSD
Jiří Válek,72,muž,Praha,45000,vysokoškolské,3300,Piráti
Lucie Horáková,29,žena,Plzeň,74000,vysokoškolské,3100,ODS
Petr Dvořák,54,muž,Liberec,59000,středoškolské s maturitou,4000,SPD
Eva Nováková,37,žena,Brno,38000,vysokoškolské,3600,ANO
Martin Šťastný,45,muž,Ostrava,32000,středoškolské bez maturity,4200,ČSSD
Jana Kopecká,32,žena,Praha,45000,vysokoškolské,2800,Piráti
Lucie Vávrová,29,žena,Plzeň,54000,vysokoškolské,3100,TOP 09
Tomáš Horák,54,muž,Liberec,42000,vyšší odborné,4600,ODS
Eva Nováková,37,žena,Brno,38000,středoškolské s maturitou,3500,ANO
Petr Svoboda,46,muž,Ostrava,53000,středoškolské bez maturity,4000,SPD
Martina Dvořáková,32,žena,Hradec Králové,36000,vysokoškolské,2800,Piráti
Jiří Novotný,29,muž,Plzeň,41000,vyšší odborné,3300,ČSSD
Lucie Horáková,54,žena,Liberec,42000,středoškolské s maturitou,3700,ODS
Klára Fialová,38,žena,Brno,39000,vysokoškolské,2900,ANO
Tomáš Svoboda,46,muž,Ostrava,34000,středoškolské bez maturity,4500,SPD
Eva Dvořáková,32,žena,České Budějovice,36000,vysokoškolské,3200,Piráti
Martin Novák,29,muž,Praha,45000,vysokoškolské,2500,TOP 09
Jan Horák,54,muž,Plzeň, 41000,vyšší odborné,3700,ČSSD
Petr Kříž,38,muž,Brno,39000,středoškolské s maturitou,4100,ANO
Lucie Svobodová,47,žena,Ostrava,28000,středoškolské bez maturity,3400,SPD
Eva Dvořáková,32,žena,Liberec,33000,vysokoškolské,2900,Piráti
Martin Novák,29,muž,Praha,55000,vysokoškolské,2500,TOP 09
Jana Štěpánková,54,žena,Plzeň,32000,středoškolské s maturitou,3700,ČSSD
Petr Vlček,36,muž,Brno,48000,vysokoškolské,4100,ODS
Lucie Horáková,47,žena,Ostrava,29000,vyšší odborné,3400,ANO
Eva Dvořáková,32,žena,Liberec,36000,vysokoškolské,2900,Piráti
Martin Novotný,28,muž,Praha,45000,vysokoškolské,2500,TOP 09
Tomáš Svoboda,32,muž,Brno,77000,vysokoškolské,3800,ČSSD
Petr Válek,41,muž,Brno,38000,vysokoškolské,4300,ČSSD
Lucie Horáková,35,žena,Ostrava,34000,vysokoškolské,3600,ANO
Eva Dvořáková,67,žena,Liberec,29000,středoškolské s maturitou,4100,Piráti
Marek Novotný,29,muž,Hradec Králové,28000,vysokoškolské,3300,ODS
Jana Křížová,54,žena,Plzeň,31500,středoškolské bez maturity,5000,SPD
Tomáš Svoboda,32,muž,Brno,77000,vysokoškolské,3800,ČSSD
Lucie Horáková,39,žena,Ostrava,33000,vysokoškolské,3600,ANO
Eva Dvořáková,47,žena,Liberec,29500,středoškolské s maturitou,4200,Piráti
Martin Novák,28,muž,Pardubice,28000,vysokoškolské,3400,ODS
Jana Kopecká,54,žena,Plzeň,31000,středoškolské bez maturity,4500,SPD
Petr Svoboda,35,muž,Brno,60000,vysokoškolské,3800,ČSSD
Lucie Novotná,32,žena,Ostrava,33000,středoškolské s maturitou,3600,ANO
Eva Dvořáková,47,žena,Liberec,29000,vysokoškolské,4200,Piráti
Martin Jelínek,29,muž,Praha,45000,vysokoškolské,3400,ODS
Jana Křížová,54,žena,Plzeň,38000,středoškolské bez maturity,4500,SPD
Petr Svoboda,36,muž,Brno,42000,vysokoškolské,3900,ČSSD
Lucie Nováková,32,žena,Ostrava,33000,vyšší odborné,3600,ANO
Eva Dvořáková,47,žena,Liberec,36000,středoškolské s maturitou,4200,Piráti
Martin Horák,29,muž,Hradec Králové,41000,vysokoškolské,3300,ODS
Hana Křížová,54,žena,Plzeň,32000,středoškolské bez maturity,4500,SPD
Petr Válek,38,muž,Brno,29000,vysokoškolské,3800,ČSSD
Lucie Novotná,32,žena,Ostrava,28000,vyšší odborné,3600,ANO
Eva Dvořáková,47,žena,Liberec,34000,středoškolské s maturitou,4100,Piráti
Tomáš Horák,29,muž,Hradec Králové,31000,vysokoškolské,3400,TOP 09
Martina Kučerová,54,žena,Plzeň,32000,středoškolské bez maturity,4500,ODS
Jan Novák,36,muž,Brno,58000,vysokoškolské,3900,ČSSD
Lucie Svobodová,42,žena,Ostrava,29000,středoškolské s maturitou,3600,ANO
Pavel Dvořák,65,muž,Praha,55000,vysokoškolské,2800,Piráti
Eva Horáková,29,žena,Liberec,31000,vysokoškolské,3300,TOP 09
Michaela Novotná,34,žena,Plzeň,34000,středoškolské s maturitou,4000,SPD
Jan Procházka,61,muž,Brno,38000,vysokoškolské,4200,ČSSD
Lucie Svobodová,43,žena,Ostrava,29000,středoškolské bez maturity,3600,ANO
Petr Válek,37,muž,Praha,75000,vysokoškolské,5000,Piráti
Eva Dvořáková,29,žena,Liberec,32000,vyšší odborné,3300,ODS
Marek Novotný,34,muž,Plzeň,34000,středoškolské s maturitou,3800,SPD
Jana Horáková,52,žena,Brno,37000,vysokoškolské,4200,ČSSD
Lucie Svobodová,45,žena,Ostrava,39000,vysokoškolské,4600,ANO
Petr Válek,38,muž,Praha,25000,vysokoškolské,3500,Piráti
Eva Dvořáková,29,žena,Liberec,32000,středoškolské s maturitou,3000,TOP 09
Martin Novák,34,muž,Plzeň,34000,vyšší odborné,3800,ODS
Jana Kopecká,52,žena,Brno,41000,vysokoškolské,4200,ČSSD
Lucie Svobodová,27,žena,Ostrava,28000,středoškolské bez maturity,2500,ANO
Petr Horák,45,muž,Praha,48000,vysokoškolské,3500,Piráti
Eva Dvořáková,48,žena,Liberec,33000,středoškolské s maturitou,3000,SPD
Martin Novák,38,muž,Plzeň,36000,vyšší odborné,3200,ODS
Jana Křížová,29,žena,Brno,31000,vysokoškolské,2700,ČSSD
Lucie Svobodová,52,žena,Ostrava,42000,středoškolské bez maturity,4000,ANO
Petr Válek,45,muž,Praha,50000,vysokoškolské,3500,Piráti
Eva Dvořáková,38,žena,Liberec,33000,středoškolské s maturitou,2900,SPD
Martin Novák,34,muž,Plzeň,38000,vysokoškolské,3200,ODS
Tomáš Svoboda,32,muž,Brno,77000,vysokoškolské,3800,ČSSD
Lucie Šimková,52,žena,Ostrava,42000,středoškolské s maturitou,4000,ANO
Petr Svoboda,45,muž,Praha,75000,vysokoškolské,3500,Piráti
Eva Dvořáková,38,žena,Liberec,33000,středoškolské bez maturity,2900,SPD
Martin Novák,34,muž,Plzeň,38000,vysokoškolské,3200,ODS
Tomáš Svoboda,32,muž,Brno,77000,vysokoškolské,3800,ČSSD
Lucie Horáková,52,žena,Ostrava,42000,středoškolské s maturitou,4000,ANO
Petr Svoboda,42,muž,Praha,35000,vysokoškolské,3500,Piráti
Eva Dvořáková,38,žena,Liberec,33000,vysokoškolské,3000,SPD
Martin Novák,34,muž,Plzeň,37000,středoškolské s maturitou,2500,ODS
Tomáš Svoboda,32,muž,Brno,77000,vysokoškolské,3800,ČSSD
Lucie Horáková,52,žena,Ostrava,42000,vysokoškolské,3200,ANO
Petr Svoboda,45,muž,Praha,25000,vysokoškolské,3500,Piráti
Eva Dvořáková,38,žena,Liberec,33000,středoškolské s maturitou,2900,SPD
Martin Novák,42,muž,Plzeň,28000,vyšší odborné,2600,ODS
Jana Kopecká,42,žena,Brno,30000,středoškolské bez maturity,2500,ČSSD
Lucie Horáková,52,žena,Ostrava,37000,vysokoškolské,3200,ANO
Tomáš Svoboda,45,muž,Praha,32000,vysokoškolské,3400,Piráti
Eva Dvořáková,37,žena,Liberec,33000,středoškolské s maturitou,2900,TOP 09
Martin Novák,34,muž,Plzeň,28000,vyšší odborné,2600,SPD
Jana Křížová,29,žena,Brno,31000,vysokoškolské,2700,ČSSD
Petr Horáček,52,muž,Ostrava,38000,středoškolské bez maturity,4000,ANO
Lucie Svobodová,45,žena,Praha,42000,vysokoškolské,3500,Piráti
Eva Dvořáková,37,žena,České Budějovice,33000,středoškolské s maturitou,2800,ODS
Martin Novák,34,muž,Plzeň,29000,vyšší odborné,3200,SPD
Jana Kopecká,29,žena,Brno,36000,vysokoškolské,2600,ČSSD
Petr Horák,51,muž,Ostrava,38000,středoškolské s maturitou,4500,ANO
Lucie Svobodová,28,žena,Liberec,31000,vysokoškolské,3000,Piráti
Eva Dvořáková,43,žena,Hradec Králové,42000,vysokoškolské,3500,ODS
Michal Novák,34,muž,Plzeň,53000,vyšší odborné,2900,SPD
Anna Kopecká,29,žena,Brno,35000,vysokoškolské,2800,ČSSD
Matěj Jelínek,52,muž,Ostrava,38000,středoškolské s maturitou,4000,ANO
Lucie Svobodová,37,žena,Liberec,31000,středoškolské bez maturity,3200,Piráti
Jana Dvořáková,45,žena,Pardubice,36000,vysokoškolské,3500,ODS
Michal Novotný,33,muž,Plzeň,42000,vysokoškolské,3700,SPD
Eva Křížová,29,žena,Brno,24000,vysokoškolské,2800,ČSSD
Petr Horák,52,muž,Ostrava,38000,středoškolské s maturitou,4500,ANO
Lucie Svobodová,37,žena,Liberec,31000,středoškolské s maturitou,3200,Piráti
Jana Dvořáková,45,žena,Hradec Králové,36000,vysokoškolské,4000,ODS
Marek Novotný,42,muž,Praha,62000,vysokoškolské,3500,TOP 09
Eva Křížová,29,žena,Brno,34000,vysokoškolské,3000,ČSSD
Tomáš Vlček,52,muž,Ostrava,38000,středoškolské s maturitou,4500,ANO
Lucie Horáková,37,žena,Liberec,32000,vysokoškolské,3300,Piráti
Jiří Dvořák,45,muž,Plzeň,26000,středoškolské s maturitou,4200,ODS
Martina Nováková,33,žena,Pardubice,29000,vysokoškolské,2500,TOP 09
Eva Svobodová,28,žena,Brno,31000,vysokoškolské,3000,ČSSD
Alois Křivánek,52,muž,Ostrava,58000,středoškolské bez maturity,4500,ANO
Lucie Horáková,39,žena,Liberec,33000,středoškolské s maturitou,3600,Piráti
Petr Novotný,45,muž,Plzeň,40000,vysokoškolské,4200,ODS
Jana Dvořáková,34,žena,Pardubice,29000,vyšší odborné,3400,TOP 09
Markéta Svobodová,28,žena,Brno,31000,vysokoškolské,3700,ČSSD
Tomáš Kříž,52,muž,Ostrava,78000,středoškolské bez maturity,4500,ANO
Eva Horáková,39,žena,Liberec,33000,vysokoškolské,3900,Piráti
Petr Novák,45,muž,Plzeň,30000,vysokoškolské,4800,ODS
Jana Dvořáková,34,žena,Hradec Králové,29000,středoškolské s maturitou,3400,TOP 09
Marek Šimek,28,muž,Brno,32000,vysokoškolské,3600,ČSSD
